BookTitle,ISBN,authors,Summary,ISBN13,Rating,RatingCount
speaker for the dead,812550757,orson scott card,"now available in mass market, the revised, definitive edition of the hugo and nebula award-winning classic. in this second book in the saga set 3,000 years after the terrible war, ender wiggin is reviled by history as the xenocide--the destroyer of the alien buggers. now, ender tells the true story of the war and seeks to stop history from repeating itself. ...in the aftermath of his terrible war, ender wiggin disappeared, and a powerful voice arose: the speaker for the dead, who told the true story of the bugger war.now, long years later, a second alien race has been discovered, but again the aliens' ways are strange and frightening...again, humans die. and it is only the speaker for the dead, who is also ender wiggin the xenocide, who has the courage to confront the mystery...and the truth.speaker for the dead, the second novel in orson scott card's ender quintet, is the winner of the 1986 nebula award for best novel and the 1987 hugo award for best novel.",9780812550760.0,3.899159663865546,2618
the clan of the cave bear,553381679,jean m. auel,"this novel of awesome beauty and power is a moving saga about people, relationships, and the boundaries of love. through jean m. auel's magnificent storytelling we are taken back to the dawn of modern humans, and with a girl named ayla we are swept up in the harsh and beautiful ice age world they shared with the ones who called themselves the clan of the cave bear. a natural disaster leaves the young girl wandering alone in an unfamiliar and dangerous land until she is found by a woman of the clan, people very different from her own kind. to them, blond, blue-eyed ayla looks peculiar and ugly--she is one of the others, those who have moved into their ancient homeland; but iza cannot leave the girl to die and takes her with them. iza and creb, the old mog-ur, grow to love her, and as ayla learns the ways of the clan and iza's way of healing, most come to accept her. but the brutal and proud youth who is destined to become their next leader sees her differences as a threat to his authority. he develops a deep and abiding hatred for the strange girl of the others who lives in their midst, and is determined to get his revenge.",9780553381670.0,3.84646878198567,2931
2001: a space odyssey,451457994,arthur c. clarke,"on the moon, an enigma is uncovered.so great are the implications of this discovery that for the first time men are sent out deep into our solar system.but long before their destination is reached, things begin to go horribly, inexplicably wrong...one of the greatest-selling science fiction novels of our time, this classic book will grip you to the very end.",9780451458000.0,3.984021304926764,2253
the one,62059998,kiera cass,i,9780062059990.0,3.93030303030303,1980
the great hunt,812517725,robert jordan,"the wheel of time turns and ages come and pass. what was, what will be, and what is, may yet fall under the shadow.let the dragon ride again on the winds of time.",9780812517730.0,4.049616599007668,2217
the amazing adventures of kavalier & clay,312282990,michael chabon,"joe kavalier, a young jewish artist who has also been trained in the art of houdini-esque escape, has just smuggled himself out of nazi-invaded prague and landed in new york city. his brooklyn cousin sammy clay is looking for a partner to create heroes, stories, and art for the latest novelty to hit america - the comic book. drawing on their own fears and dreams, kavalier and clay create the escapist, the monitor, and luna moth, inspired by the beautiful rosa saks, who will become linked by powerful ties to both men. with exhilarating style and grace, michael chabon tells an unforgettable story about american romance and possibility.",9780312283000.0,4.047353760445683,2513
peter pan,805072454,"j.m. barrie, michael hague","peter pan by j. m. barrie peter pan, the mischievous boy who refuses to grow up, lands in the darling's proper middle-class home to look for his shadow. he befriends wendy, john and michael and teaches them to fly (with a little help from fairy dust). he and tinker bell whisk them off to never-land where they encounter the red indians, the little lost boys, pirates and the dastardly captain hook.",9780805072460.0,4.065800865800866,2310
pretties,689865392,scott westerfeld,"gorgeous. popular. perfect.perfectly wrong.tally has finally become pretty. now her looks are beyond perfect, her clothes are awesome, her boyfriend is totally hot, and she's completely popular. it's everything she's ever wanted.but beneath all the fun -- the nonstop parties, the high-tech luxury, the total freedom -- is a nagging sense that something's wrong. something important. then a message from tally's ugly past arrives. reading it, tally remembers what's wrong with pretty life, and the fun stops cold.now she has to choose between fighting to forget what she knows and fighting for her life -- because the authorities don't intend to let anyone with this information survive.",9780689865400.0,3.7368659420289854,2208
cloud atlas,375507256,david mitchell,"a postmodern visionary who is also a master of styles of genres, david mitchell combines flat-out adventure, a nabokovian lore of puzzles, a keen eye for character, and a taste for mind-bending philosophical and scientific speculation in the tradition of umberto eco, haruki murakami, and philip k. dick. the result is brilliantly original fiction as profund as it is playful. now in his new novel, david mitchell explores with daring artistry fundamental questions of reality and identity.cloud atlas begins in 1850 with adam ewing, an american notary voyaging from the chatham isles to his home in california. along the way, ewing is befriended by a physician, dr. goose, who begins to treat him for a rare species of brain parasite. . . .abruptly, the action jumps to belgium in 1931, where robert frobisher, a disinherited bisexual composer, contrives his way into the household of an infirm maestro who has a beguiling wife and a nubile daughter. . . . from there we jump to the west coast in the 1970s and a troubled reporter named luisa rey, who stumbles upon a web of corporate greed and murder that threatens to claim her life. . . . and onward, with dazzling virtuosity, to an inglorious present-day england; to a korean superstate of the near future where neocapitalism has run amok; and, finally, to a postapocalyptic iron age hawaii in the last days of history.but the story doesn’t end even there. the narrative then boomerangs back through centuries and space, returning by the same route, in reverse, to its starting point. along the way, mitchell reveals how his disparate characters connect, how their fates intertwine, and how their souls drift across time like clouds across the sky.as wild as a videogame, as mysterious as a zen koan, cloud atlas is an unforgettable tour de force that, like its incomparable author, has transcended its cult classic status to become a worldwide phenomenon.",9780375507250.0,3.915718499789296,2373
beowulf,393320979,"unknown, seamus heaney","the earliest extant poem in a modern european language, ""beowulf"" is an epic that reflects a feudal, newly christian world of heroes and monsters, blood, victory, and death. this repackaged signet classic includes a glossary of terms.",9780393320980.0,3.3609534619750283,2643
daughter of smoke & bone,316134023,laini taylor,"around the world, black hand prints are appearing on doorways, scorched there by winged strangers who have crept through a slit in the sky.in a dark and dusty shop, a devil’s supply of human teeth grows dangerously low.and in the tangled lanes of prague, a young art student is about to be caught up in a brutal otherworldly war.meet karou. she fills her sketchbooks with monsters that may or may not be real, she’s prone to disappearing on mysterious ""errands"", she speaks many languages - not all of them human - and her bright blue hair actually grows out of her head that color. who is she? that is the question that haunts her, and she’s about to find out.when beautiful, haunted akiva fixes fiery eyes on her in an alley in marrakesh, the result is blood and starlight, secrets unveiled, and a star-crossed love whose roots drink deep of a violent past. but will karou live to regret learning the truth about herself?",9780316134030.0,3.9221004039238316,1733
red queen,1409151174,victoria aveyard,"this is a world divided by blood - red or silver.the reds are commoners, ruled by a silver elite in possession of god-like superpowers. and to mare barrow, a seventeen-year-old red girl from the poverty-stricken stilts, it seems like nothing will ever change.that is, until she finds herself working in the silver palace. here, surrounded by the people she hates the most, mare discovers that, despite her red blood, she possesses a deadly power of her own. one that threatens to destroy the balance of power.fearful of mare's potential, the silvers hide her in plain view, declaring her a long-lost silver princess, now engaged to a silver prince. despite knowing that one misstep would mean her death, mare works silently to help the red guard, a militant resistance group, and bring down the silver regime.but this is a world of betrayal and lies, and mare has entered a dangerous dance - reds against silvers, prince against prince, and mare against her own heart...",9781409151170.0,3.9165266106442576,1785
a little princess,142437018,"frances hodgson burnett, nancy bond","sara crewe, an exceptionally intelligent and imaginative student at miss minchin's select seminary for young ladies, is devastated when her adored, indulgent father dies. now penniless and banished to a room in the attic, sara is demeaned, abused, and forced to work as a servant. how this resourceful girl's fortunes change again is at the center of a little princess, one of the best-loved stories in all of children's literature. this unique and fully annotated edition appends excerpts from frances hodgson burnett's original 1888 novella sara crewe and the stage play that preceded the novel, as well as an early story, ""behind the white brick,"" allowing readers to see how a little princess evolved. in his delightful introduction, u. c. knoepflmacher considers the fairy-tale allusions and literary touchstones that place the book among the major works of victorian literature, and shows it to be an exceptionally rich and resonant novel.",9780142437020.0,4.168145161290322,2480
the truth about forever,142406252,sarah dessen,"there are alternate cover editions for this isbn here and here.a long, hot summer...that's what macy has to look forward to while her boyfriend, jason, is away at brain camp. days will be spent at a boring job in the library, evenings will be filled with vocabulary drills for the sats, and spare time will be passed with her mother, the two of them sharing a silent grief at the traumatic loss of macy's father.but sometimes, unexpected things can happen—things such as the catering job at wish, with its fun-loving, chaotic crew. or her sister's project of renovating the neglected beach house, awakening long-buried memories. things such as meeting wes, a boy with a past, a taste for truth-telling, and an amazing artistic talent, the kind of boy who could turn any girl's world upside down. as macy ventures out of her shell, she begins to question her sheltered life. is it really always better to be safe than sorry?",9780142406250.0,4.01509705248023,1391
the war of the worlds,375759239,"h.g. wells, arthur c. clarke","with h.g. wells’ other novels, the war of the worlds was one of the first and greatest works of science fiction ever to be written. even long before man had learned to fly, h.g. wells wrote this story of the martian attack on england. these unearthly creatures arrive in huge cylinders, from which they escape as soon as the metal is cool. the first falls near woking and is regarded as a curiosity rather than a danger until the martians climb out of it and kill many of the gaping crowd with a heat-ray. these unearthly creatures have heads four feet in diameter and colossal round bodies, and by manipulating two terrifying machines – the handling machine and the fighting machine – they are as versatile as humans and at the same time insuperable. they cause boundless destruction. the inhabitants of the earth are powerless against them, and it looks as if the end of the world has come. but there is one factor which the martians, in spite of their superior intelligence, have not reckoned on. it is this which brings about a miraculous conclusion to this famous work of the imagination.",9780375759240.0,3.718386023294509,2404
life after life,316176486,kate atkinson,"what if you could live again and again, until you got it right? on a cold and snowy night in 1910, ursula todd is born to an english banker and his wife. she dies before she can draw her first breath. on that same cold and snowy night, ursula todd is born, lets out a lusty wail, and embarks upon a life that will be, to say the least, unusual. for as she grows, she also dies, repeatedly, in a variety of ways, while the young century marches on towards its second cataclysmic world war. does ursula's apparently infinite number of lives give her the power to save the world from its inevitable destiny? and if she can - will she?",9780316176480.0,3.7011693373754873,2309
needful things,045057458X,stephen king,"leland gaunt opens a new shop in castle rock called needful things. anyone who enters his store finds the object of his or her lifelong dreams and desires: a prized baseball card, a healing amulet. in addition to a token payment, gaunt requests that each person perform a little ""deed,"" usually a seemingly innocent prank played on someone else from town. these practical jokes cascade out of control and soon the entire town is doing battle with itself. only sheriff alan pangborn suspects that gaunt is behind the population's increasingly violent behavior.",9780450574580.0,3.7101214574898784,2470
voyager,385335997,diana gabaldon,"from the author of the breathtaking bestsellers outlander and dragonfly in amber, the extraordinary saga continues.their passionate encounter happened long ago by whatever measurement claire randall took. two decades before, she had traveled back in time and into the arms of a gallant eighteenth-century scot named jamie fraser. then she returned to her own century to bear his child, believing him dead in the tragic battle of culloden. yet his memory has never lessened its hold on her... and her body still cries out for him in her dreams.then claire discovers that jamie survived. torn between returning to him and staying with their daughter in her own era, claire must choose her destiny. and as time and space come full circle, she must find the courage to face the passion and pain awaiting her...the deadly intrigues raging in a divided scotland... and the daring voyage into the dark unknown that can reunite or forever doom her timeless love.",9780385336000.0,4.233541566554541,2081
cujo,307348245,stephen king,"outside a peaceful town in central maine, a monster is waiting. cujo is a two-hundred-pound saint bernard, the best friend brett camber has ever had. one day cujo chases a rabbit into a bolt-hole—a cave inhabited by sick bats. what happens to cujo, how he becomes a horrifying vortex inexorably drawing in all the people around him makes for one of the most heart-stopping novels stephen king has written.",9780307348240.0,3.465350367789392,2583
the phantom tollbooth,394820371,"norton juster, jules feiffer","librarian's note: for an alternate cover edition of the same isbn, click here.hailed as “a classic. . . . humorous, full of warmth and real invention” (the new yorker), this beloved story -first published more than fifty years ago- introduces readers to milo and his adventures in the lands beyond. for milo, everything’s a bore. when a tollbooth mysteriously appears in his room, he drives through only because he’s got nothing better to do. but on the other side, things seem different. milo visits the island of conclusions (you get there by jumping), learns about time from a ticking watchdog named tock, and even embarks on a quest to rescue rhyme and reason! somewhere along the way, milo realizes something astonishing. life is far from dull. in fact, it’s exciting beyond his wildest dreams. . . .",9780394820380.0,4.179744878237341,2587
the way of kings,765326353,brandon sanderson,"from #1 new york times bestselling author brandon sanderson, the way of kings, book one of the stormlight archive begins an incredible new saga of epic proportion.roshar is a world of stone and storms. uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. cities are built only where the topography offers shelter.it has been centuries since the fall of the ten consecrated orders known as the knights radiant, but their shardblades and shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. men trade kingdoms for shardblades. wars were fought for them, and won by them.one such war rages on a ruined landscape called the shattered plains. there, kaladin, who traded his medical apprenticeship for a spear to protect his little brother, has been reduced to slavery. in a war that makes no sense, where ten armies fight separately against a single foe, he struggles to save his men and to fathom the leaders who consider them expendable.brightlord dalinar kholin commands one of those other armies. like his brother, the late king, he is fascinated by an ancient text called the way of kings. troubled by over-powering visions of ancient times and the knights radiant, he has begun to doubt his own sanity.across the ocean, an untried young woman named shallan seeks to train under an eminent scholar and notorious heretic, dalinar's niece, jasnah. though she genuinely loves learning, shallan's motives are less than pure. as she plans a daring theft, her research for jasnah hints at secrets of the knights radiant and the true cause of the war.the result of over ten years of planning, writing, and world-building, the way of kings is but the opening movement of the stormlight archive, a bold masterpiece in the making.speak again the ancient oaths:life before death.strength before weakness.journey before destination.and return to men the shards they once bore.the knights radiant must stand again.",9780765326360.0,4.5455561766349915,1789
batman: the dark knight returns,156389341X,"frank miller, klaus janson, lynn varley","this masterpiece of modern comics storytelling brings to vivid life a dark world and an even darker man. together with inker klaus janson and colorist lynn varley, writer/artist frank miller completely reinvents the legend of batman in his saga of a near-future gotham city gone to rot, ten years after the dark knight's retirement. crime runs rampant in the streets, and the man who was batman is still tortured by the memories of his parents' murders. as civil society crumbles around him, bruce wayne's long-suppressed vigilante side finally breaks free of its self-imposed shackles. the dark knight returns in a blaze of fury, taking on a whole new generation of criminals and matching their level of violence. he is soon joined by this generation's robin—a girl named carrie kelley, who proves to be just as invaluable as her predecessors.but can batman and robin deal with the threat posed by their deadliest enemies, after years of incarceration have made them into perfect psychopaths? and more important, can anyone survive the coming fallout of an undeclared war between the superpowers—or a clash of what were once the world's greatest superheroes?over fifteen years after its debut, batman: the dark knight returns remains an undisputed classic and one of the most influential stories ever told in the comics medium.collecting batman: the dark knight returns #1-4",9781563893410.0,4.264895330112721,1242
the angel experiment,446617792,james patterson,"six unforgettable kids — with no families, no homes — are running for their lives. max ride and her best friends have the ability to fly. and that's just the beginning of their amazing powers. but they don't know where they come from, who's hunting them, why they are different from all other humans... and if they're meant to save mankind — or destroy it.",9780446617800.0,3.855658198614319,1732
oryx and crake,385721676,margaret atwood,"oryx and crake is at once an unforgettable love story and a compelling vision of the future. snowman, known as jimmy before mankind was overwhelmed by a plague, is struggling to survive in a world where he may be the last human, and mourning the loss of his best friend, crake, and the beautiful and elusive oryx whom they both loved. in search of answers, snowman embarks on a journey–with the help of the green-eyed children of crake–through the lush wilderness that was so recently a great city, until powerful corporations took mankind on an uncontrolled genetic engineering ride. margaret atwood projects us into a near future that is both all too familiar and beyond our imagining.",9780385721680.0,3.915176524530032,2181
timeline,99244721,michael crichton,"in an arizona desert, a man wanders in a daze, speaking words that make no sense. within twenty-four hours he is dead, his body swiftly cremated by his only known associates. halfway around the world, archaeologists make a shocking discovery at a medieval site. suddenly they are swept off to the headquarters of a secretive multinational corporation that has developed an astounding technology. now this group is about to get a chance not to study the past but to enter it. and with history opened up to the present, the dead awakened to the living, these men and women will soon find themselves fighting for their very survival -- six hundred years ago.",9780099244720.0,3.6908491343775762,2426
candide,486266893,voltaire,"candide is the story of a gentle man who, though pummeled and slapped in every direction by fate, clings desperately to the belief that he lives in ""the best of all possible worlds."" on the surface a witty, bantering tale, this eighteenth-century classic is actually a savage, satiric thrust at the philosophical optimism that proclaims that all disaster and human suffering is part of a benevolent cosmic plan. fast, funny, often outrageous, the french philosopher's immortal narrative takes candide around the world to discover that -- contrary to the teachings of his distinguished tutor dr. pangloss -- all is not always for the best. alive with wit, brilliance, and graceful storytelling, candide has become voltaire's most celebrated work.",9780486266890.0,3.6814317673378074,2235
tuck everlasting,374480095,natalie babbitt,"doomed to - or blessed with - eternal life after drinking from a magic spring, the tuck family wanders about trying to live as inconspicuously and comfortably as they can. when ten-year-old winnie foster stumbles on their secret, the tucks take her home and explain why living forever at one age is less a blessing that it might seem. complications arise when winnie is followed by a stranger who wants to market the spring water for a fortune.",9780374480100.0,3.7637894736842106,2375
christine,2253147699,"stephen king, marie milpois","master storyteller stephen king presents the classic #1 national bestseller of the ultimate vehicle of terror!“this is the story of a lover’s triangle…it was bad from the start. and it got worse in a hurry.” it’s love at first sight for high school student arnie cunningham when he and his best friend dennis guilder spot the dilapidated 1958 red-and-white plymouth fury for sale—dubbed “christine” by its original cantankerous owner—rusting away on a front lawn of their suburban pennsylvania neighborhood. dennis knows that arnie’s never had much luck in the looks or popularity department, or really taken an interest in owning a car . . . but christine quickly changes all that. arnie suddenly has the newfound confidence to stick up for himself, going as far as dating the most beautiful girl at libertyville high—transfer student leigh cabot—even as a mysteriously restored christine systematically and terrifyingly consumes every aspect of arnie’s life. dennis and leigh soon realize that they must uncover the awful truth behind a car with a horrifying and murderous history. hell hath no fury like a woman scorned, and heaven help anyone who gets in christine’s way…",9782253147700.0,3.5272108843537415,2352
scarlet,312642962,marissa meyer,"cinder, the cyborg mechanic, returns in the second thrilling installment of the bestselling lunar chronicles. she’s trying to break out of prison—even though if she succeeds, she’ll be the commonwealth’s most wanted fugitive. halfway around the world, scarlet benoit’s grandmother is missing. when scarlet encounters wolf, a street fighter who may have information as to her grandmother’s whereabouts, she is loath to trust this stranger, but is inexplicably drawn to him, and he to her. as scarlet and wolf unravel one mystery, they encounter another when they meet cinder. now, all of them must stay one step ahead of the vicious lunar queen levana, who will do anything for the handsome prince kai to become her husband, her king, her prisoner.",9780312642970.0,4.179126944305068,3986
the magicians,670020559,lev grossman,"a thrilling and original coming-of-age novel for adults about a young man practicing magic in the real world.quentin coldwater is brilliant but miserable. a senior in high school, he’s still secretly preoccupied with a series of fantasy novels he read as a child, set in a magical land called fillory. imagine his surprise when he finds himself unexpectedly admitted to a very secret, very exclusive college of magic in upstate new york, where he receives a thorough and rigorous education in the craft of modern sorcery. he also discovers all the other things people learn in college: friendship, love, sex, booze, and boredom. something is missing, though. magic doesn’t bring quentin the happiness and adventure he dreamed it would. after graduation he and his friends make a stunning discovery: fillory is real. but the land of quentin’s fantasies turns out to be much darker and more dangerous than he could have imagined. his childhood dream becomes a nightmare with a shocking truth at its heart. at once psychologically piercing and magnificently absorbing, the magicians boldly moves into uncharted literary territory, imagining magic as practiced by real people, with their capricious desires and volatile emotions. lev grossman creates an utterly original world in which good and evil aren’t black and white, love and sex aren’t simple or innocent, and power comes at a terrible price.",9780670020550.0,3.3954997836434444,2311
a great and terrible beauty,689875347,libba bray,"in this debut gothic novel mysterious visions, dark family secrets and a long-lost diary thrust gemma and her classmates back into the horrors that followed her from india. (ages 12+)it's 1895, and after the suicide of her mother, 16-year-old gemma doyle is shipped off from the life she knows in india to spence, a proper boarding school in england. lonely, guilt-ridden, and prone to visions of the future that have an uncomfortable habit of coming true, gemma's reception there is a chilly one. to make things worse, she's been followed by a mysterious young indian man, a man sent to watch her. but why? what is her destiny? and what will her entanglement with spence's most powerful girls—and their foray into the spiritual world—lead to?",9780689875340.0,3.632967032967033,1820
the absolutely true diary of a part-time indian,316013684,"sherman alexie, ellen forney","bestselling author sherman alexie tells the story of junior, a budding cartoonist growing up on the spokane indian reservation. determined to take his future into his own hands, junior leaves his troubled school on the rez to attend an all-white farm town high school where the only other indian is the school mascot.heartbreaking, funny, and beautifully written, the absolutely true diary of a part-time indian, which is based on the author's own experiences, coupled with poignant drawings by ellen forney that reflect the character's art, chronicles the contemporary adolescence of one native american boy as he attempts to break away from the life he was destined to live.with a forward by markus zusak & interviews with sherman alexie and ellen forney ",9780316013680.0,4.134851138353765,1713
a wizard of earthsea,553383043,ursula k. le guin,"ged, the greatest sorcerer in all earthsea, was called sparrowhawk in his reckless youth. hungry for power and knowledge, sparrowhawk tampered with long-held secrets and loosed a terrible shadow upon the world. this is the tale of his testing, how he mastered the mighty words of power, tamed an ancient dragon, and crossed death's threshold to restore the balance.",9780553383040.0,3.9071395240317313,2143
assassin's apprentice,6480098,robin hobb,"in a faraway land where members of the royal family are named for the virtues they embody, one young boy will become a walking enigma.born on the wrong side of the sheets, fitz, son of chivalry farseer, is a royal bastard, cast out into the world, friendless and lonely. only his magical link with animals - the old art known as the wit - gives him solace and companionship. but the wit, if used too often, is a perilous magic, and one abhorred by the nobility.so when fitz is finally adopted into the royal household, he must give up his old ways and embrace a new life of weaponry, scribing, courtly manners; and how to kill a man secretly, as he trains to become a royal assassin.",9780006480100.0,4.050424929178471,1765
the restaurant at the end of the universe,345418921,douglas adams,"alternate cover edition isbn 0345418921 (isbn13: 9780345418920)facing annihilation at the hands of the warlike vogons is a curious time to have a cosmically displaced arthur dent and his curious comrades in arms as they hurtle through space powered by pure improbability - and desperately in search of a place to eat. among arthur's motley shipmates are ford prefect, a long-time friend and contributor to the the hitch hiker's guide to the galaxy; zaphod beeblebrox, the three-armed, two-headed ex-president of the galaxy; tricia mcmilan, a fellow earth refuge who's gone native (her name is trillian now); and marvin, who suffers nothing and no one gladly.source: douglasadams.com",9780345418920.0,4.135909090909091,2200
torment,385739141,lauren kate,"hell on earth.that’s what it’s like for luce to be apart from her fallen angel boyfriend, daniel.it took them an eternity to find one another, but now he has told her he must go away. just long enough to hunt down the outcasts—immortals who want to kill luce. daniel hides luce at shoreline, a school on the rocky california coast with unusually gifted students: nephilim, the offspring of fallen angels and humans.at shoreline, luce learns what the shadows are, and how she can use them as windows to her previous lives. yet the more luce learns, the more she suspects that daniel hasn’t told her everything. he’s hiding something—something dangerous.what if daniel’s version of the past isn’t actually true? what if luce is really meant to be with someone else? the second novel in the addictive fallen series . . . where love never dies.from the hardcover edition.",9780385739150.0,3.6797047970479704,1355
the silver chair,64405044,"c.s. lewis, pauline baynes","jill and eustace must rescue the prince from the evil witch.narnia...where owls are wise, where some of the giants like to snack on humans, where a prince is put under an evil spell...and where the adventure begins.eustace and jill escape from the bullies at school through a strange door in the wall, which, for once, is unlocked. it leads to the open moor...or does it? once again aslan has a task for the children, and narnia needs them. through dangers untold and caverns deep and dark, they pursue the quest that brings them face to face with the evil witch. she must be defeated if prince rillian is to be saved.",9780064405040.0,3.8369820172009383,2558
the hero of ages,765316897,brandon sanderson,"tricked into releasing the evil spirit ruin while attempting to close the well of ascension, new emperor elend venture and his wife, the assassin vin, are now hard-pressed to save the world.",9780765316900.0,4.3228772309356405,1849
city of heavenly fire,1481426303,cassandra clare,"in this dazzling and long-awaited conclusion to the acclaimed mortal instruments series, clary and her friends fight the greatest evil they have ever faced: clary's own brother.sebastian morgenstern is on the move, systematically turning shadowhunter against shadowhunter. bearing the infernal cup, he transforms shadowhunters into creatures out of nightmare, tearing apart families and lovers as the ranks of his endarkened army swell.the embattled shadowhunters withdraw to idris - but not even the famed demon towers of alicante can keep sebastian at bay. and with the nephilim trapped in idris, who will guard the world against demons?when one of the greatest betrayals the nephilim have ever known is revealed, clary, jace, isabelle, simon, and alec must flee - even if their journey takes them deep into the demon realms, where no shadowhunter has set foot before, and from which no human being has ever returned...love will be sacrificed and lives lost in the terrible battle for the fate of the word in the thrilling final installment of the classic urban fantasy series the mortal instruments!",9781481426300.0,4.263042284459089,1821
cell,1416524517,stephen king,"where were you on october 1st at 3:03 p.m.?graphic artist clay riddell was in the heart of boston on that brilliant autumn afternoon when hell was unleashed before his eyes. without warning, carnage and chaos reigned. ordinary people fell victim to the basest, most animalistic destruction.and the apocalypse began with the ring of a cell phone....(back cover)",9781416524520.0,3.446663163426169,1903
the silmarillion,618391118,"j.r.r. tolkien, christopher tolkien, ted nasmith","the story of the creation of the world and of the first age, this is the ancient drama to which the characters in the lord of the rings look back and in whose events some of them, such as elrond and galadriel, took part. the three silmarils were jewels created by fëanor, most gifted of the elves. within them was imprisoned the light of the two trees of valinor before the trees themselves were destroyed by morgoth, the first dark lord. thereafter, the unsullied light of valinor lived on only in the silmarils, but they were seized by morgoth and set in his crown, which was guarded in the impenetrable fortress of angband in the north of middle-earth. the silmarillion is the history of the rebellion of fëanor and his kindred against the gods, their exile from valinor and return to middle-earth, and their war, hopeless despite all their heroism, against the great enemy.",9780618391110.0,3.61005291005291,1890
the drawing of the three,451210859,stephen king,"while pursuing his quest for the dark tower through a world that is a nightmarishly distorted mirror image of our own, roland, the last gunslinger, encounters three mysterious doorways on the beach. each one enters into the life of a different person living in contemporary new york. here he links forces with the defiant young eddie dean and the beautiful, brilliant, and brave odetta holmes, in a savage struggle against underworld evil and otherworldly enemies.once again, stephen king has masterfully interwoven dark, evocative fantasy and icy realism.",9780451210850.0,4.116539668310175,2231
this lullaby,142501557,sarah dessen,"there is an alternate cover edition for this isbn13 here.when it comes to relationships, remy doesn't mess around. after all, she's learned all there is to know from her mother, who's currently working on husband number five. but there's something about dexter that seems to defy all of remy's rules. he certainly doesn't seem like mr. right. for some reason, however, remy just can't seem to shake him. could it be that remy's starting to understand what those love songs are all about?",9780142501560.0,3.954855195911414,1174
the hound of the baskervilles,451528018,"arthur conan doyle, anne perry","‘mr. holmes, they were the footprints of a gigantic hound!’the death, quite suddenly, of sir charles baskerville in mysterious circumstances is the trigger for one of the most extraordinary cases ever to challenge the brilliant analytical mind of sherlock holmes. as rumours of a legendary hound said to haunt the baskerville family circulate, holmes and watson are asked to ensure the protection of sir charles' only heir, sir henry - who has travelled all the way from america to reside at baskerville hall in devon. and it is there, in an isolated mansion surrounded by mile after mile of wild moor, that holmes and watson come face to face with a terrifying evil that reaches out from centuries past . . .",9780451528020.0,3.961299569995222,2093
the mists of avalon,345350499,marion zimmer bradley,"here is the magical legend of king arthur, vividly retold through the eyes and lives of the women who wielded power from behind the throne. a spellbinding novel, an extraordinary literary achievement, the mists of avalon will stay with you for a long time to come....",9780345350500.0,4.071008403361344,2380
"are you there god? it's me, margaret",689841582,judy blume,"margaret simon, almost twelve, likes long hair, tuna fish, the smell of rain, and things that are pink. she’s just moved from new york city to farbook, new jersey, and is anxious to fit in with her new friends—nancy, gretchen, and janie. when they form a secret club to talk about private subjects like boys, bras, and getting their first periods, margaret is happy to belong.but none of them can believe margaret doesn’t have religion, and that she isn’t going to the y or the jewish community center. what they don’t know is margaret has her own very special relationship with god. she can talk to god about everything—family, friends, even moose freed, her secret crush.margaret is funny and real, and her thoughts and feelings are oh-so-relatable—you’ll feel like she’s talking right to you, sharing her secrets with a friend.",9780689841580.0,3.8713071630918656,2471
starship troopers,441783589,robert a. heinlein,"the historians can’t seem to settle whether to call this one ""the third space war"" (or the fourth), or whether ""the first interstellar war"" fits it better. we just call it “the bug war."" everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" however, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...in one of robert a. heinlein’s most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the universe—and into battle with the terran mobile infantry against mankind’s most alarming enemy.",9780441783590.0,3.9220563847429517,1809
the martian chronicles,553278223,ray bradbury,"the strange and wonderful tale of man’s experiences on mars, filled with intense images and astonishing visions. now part of the voyager classics collection.the martian chronicles tells the story of humanity’s repeated attempts to colonize the red planet. the first men were few. most succumbed to a disease they called the great loneliness when they saw their home planet dwindle to the size of a fist. they felt they had never been born. those few that survived found no welcome on mars. the shape-changing martians thought they were native lunatics and duly locked them up.but more rockets arrived from earth, and more, piercing the hallucinations projected by the martians. people brought their old prejudices with them – and their desires and fantasies, tainted dreams. these were soon inhabited by the strange native beings, with their caged flowers and birds of flame.contents:rocket summeryllathe summer nightthe earth menthe taxpayerthe third expedition-and the moon be still as brightthe settlersthe green morningthe locustsnight meetingthe shoreinterimthe musiciansway in the middle of the airthe naming of namesusher iithe old onesthe martianthe luggage storethe off seasonthe watchersthe silent townsthe long yearsthere will come soft rainsthe million year picnic",9780553278220.0,4.0201005025125625,2189
prey,61015725,michael crichton,"in the nevada desert, an experiment has gone horribly wrong. a cloud of nanoparticles -- micro-robots -- has escaped from the laboratory. this cloud is self-sustaining and self-reproducing. it is intelligent and learns from experience. for all practical purposes, it is alive.it has been programmed as a predator. it is evolving swiftly, becoming more deadly with each passing hour.every attempt to destroy it has failed.and we are the prey.",9780061015720.0,3.5124694376528116,2045
the last battle,7202326,c.s. lewis,"this edition of lewis's classic fantasy fiction is packaged specifically for adults. complementing the look of the author's non-fiction books, and anticipating the forthcoming narnia feature films, this edition contains an exclusive p.s. section about the history of the book, plus a round-up of the first six titles.",9780007202320.0,3.9228855721393034,2412
